Date,Open,High,Low,Close ,Adj Close ,Volume
2025-02-03,340,346,339.24,345.82,345.24,8004500
2025-01-31,346.47,351.25,341.71,341.8,341.23,8628100
2025-01-30,339.51,344.44,339,343.05,342.47,8081300
2025-01-29,334.5,337.11,334.5,335.88,335.32,5087300
2025-01-28,334.67,337.83,332.89,334.48,333.92,5999600
2025-01-27,330,335.49,328.05,334.54,333.98,6636500
2025-01-24,328.02,331.09,327.81,330.2,329.65,4327500
2025-01-23,323.76,328.51,323.57,328.21,327.66,5297100
2025-01-22,324.77,325.74,322.38,323.56,323.02,5026500
2025-01-21,320.31,324.58,320,323.63,323.09,5653000
2025-01-17,317.5,320.59,316.71,319.62,319.08,5805800
2025-01-16,315.75,319.18,315.75,317.25,316.72,4606700
2025-01-15,313.68,317.19,313.13,316.28,315.75,5222000
2025-01-14,308.75,310.16,307.52,309.09,308.57,5107600
2025-01-13,305,306.92,303.84,306.92,306.4,9568400
2025-01-10,311.2,311.85,305.99,307.71,307.19,6660100
2025-01-08,311,314.04,310.21,312.6,312.07,5161600
2025-01-07,312.89,315.19,311.32,311.67,311.15,4958600
2025-01-06,315.01,315.39,312.07,313.04,312.51,6567300
2025-01-03,314.18,315.92,312.01,314.91,314.38,4271300
2025-01-02,317.78,319.68,312.41,314.4,313.87,5369500
2024-12-31,316.12,317.66,315.19,316.04,315.51,3963800
2024-12-30,314.68,317.11,313.23,315.31,314.78,3478500
2024-12-27,319.27,321.5,317.56,318.66,318.12,3489200
2024-12-26,319.77,321.45,319.46,320.91,320.37,2856000
2024-12-24,318.17,321.54,317.28,320.65,320.11,2684100
2024-12-23,315.65,317.97,313.35,317.22,316.69,7984600
2024-12-20,313.57,320,312.28,317.71,317.18,24387000
2024-12-19,311.83,316.87,311.23,314.88,314.35,8317100
2024-12-18,318.5,321.62,309.56,309.78,309.26,10479200
2024-12-17,315.82,318.84,315.14,318.3,317.77,8843900
2024-12-16,314.74,317.56,314.1,315.89,315.36,6562500
2024-12-13,315.83,316.95,314.34,314.74,314.21,4682200
2024-12-12,314.82,315.55,313.43,314.23,313.7,3218500
2024-12-11,313.04,315.55,311.21,313.79,313.26,4321800
2024-12-10,307.36,312.98,306.64,312.38,311.86,4539500
2024-12-09,311.83,313.01,307.64,308.3,307.78,5785300
2024-12-06,308.87,312.56,308.8,311.01,310.49,4302700
2024-12-05,309.98,311.09,308.83,309.08,308.56,5200100
2024-12-04,312.42,312.85,308.8,309.9,309.38,5981800
2024-12-03,317.1,317.32,312.77,313.01,312.48,5009900
2024-12-02,316.9,317.42,313.71,316.65,316.12,5597500
2024-11-29,314.29,316.25,313.7,315.08,314.55,3853300
2024-11-27,310.77,316.37,309.49,314.7,314.17,5204300
